class,rank,base_neuron_idx,base_l1_weight,ft_neuron_idx,ft_l1_weight
anger,1,43,3.2385,55,2.3939
anger,2,6,2.7412,37,2.0902
anger,3,39,2.0972,45,2.0837
anger,4,62,1.4652,4,1.9794
anger,5,27,1.3043,36,1.6122
disgust,1,61,3.845,32,4.3908
disgust,2,44,2.5018,26,3.9378
disgust,3,30,2.0088,1,3.7077
disgust,4,50,1.9947,63,3.6441
disgust,5,53,1.9158,31,3.0839
fear,1,44,3.2708,43,2.6324
fear,2,43,3.0336,27,2.1896
fear,3,41,1.8148,20,2.0619
fear,4,56,1.6149,13,2.0438
fear,5,20,1.5966,31,1.407
happiness,1,18,2.3329,15,3.9522
happiness,2,49,2.3304,8,3.4383
happiness,3,6,2.024,48,2.4081
happiness,4,27,1.978,45,2.2327
happiness,5,44,1.9544,43,2.0331
sadness,1,31,4.592,47,3.5166
sadness,2,54,2.2261,62,3.1923
sadness,3,52,2.1592,18,3.0591
sadness,4,7,2.1025,22,2.8058
sadness,5,26,1.7403,51,2.2337
surprise,1,62,2.7551,28,4.7064
surprise,2,35,2.567,47,3.921
surprise,3,30,2.3466,63,3.0875
surprise,4,45,1.6748,24,2.7697
surprise,5,8,1.6718,8,2.5888
